feature	s__Bifidobacterium_dentium	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_longum	s__Lactobacillus_fermentum	s__Lactobacillus_salivarius	s__Lactobacillus_rhamnosus	s__Actinomyces_naeslundii	s__Actinomyces_oris	s__Actinomyces_sp_HPA0247	s__Streptococcus_anginosus_group	s__Streptococcus_mutans	s__Streptococcus_vestibularis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Klebsiella_quasipneumoniae	s__Blautia_wexlerae	s__Blautia_hansenii	s__Anaerostipes_hadrus	s__Clostridium_sp_CAG_58	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_sp_CAG_38	s__Faecalibacterium_prausnitzii	s__Fusicatenibacter_saccharivorans	s__Roseburia_faecis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bicirculans	s__Ruminococcus_lactaris
DP360	-6.46814637354097	-5.38116446470809	-18.2311288511831	-3.87724194770819	-19.6096404744368	-18.5530569460704	-18.6685341634904	-12.942883882552	-10.0072014106952	-19.8611792414328	-9.97417627626893	-11.037053925051	-9.46274091409322	-4.11596262168127	-6.73930658199987	-10.2181820543871	-18.346606068603	-20.0835716627692	-18.7940650455742	-10.3144684824483	-8.31203634175212	-10.1245357133558	-18.8611792414328	-11.7945774572439	-19.2534966642115	-5.47139427688823	-8.90228134235593	-15.4333177017963	-12.7727064631157	-16.4986091620481	-8.17618021833051	-16.1874074737538
DP359	-18.8959446595935	-20.6685341634904	-18.2311288511831	-12.5478642768501	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-7.08210482342851	-20.0835716627692	-8.10466263030139	-7.10490092161518	-9.82631478962329	-5.81546020252588	-18.8611792414328	-7.10923674685801	-19.2534966642115	-3.86737314915539	-4.26324586271493	-7.67875532733116	-20.4461417421539	-14.0785709817109	-4.48841780459485	-8.80183478060835
DP357	-3.84695946255347	-2.56888157704888	-8.34693484516708	-4.40795454683303	-19.6096404744368	-18.5530569460704	-14.0538243193752	-12.7211407389227	-12.2705030895172	-11.9009014330772	-8.90906204228755	-6.72342567806648	-8.34867390991733	-12.6452418422336	-9.40839870323856	-13.4902842973971	-14.9225797860969	-20.0835716627692	-7.83277979647388	-16.8526172279294	-6.75701733724067	-6.64208276530703	-18.8611792414328	-14.5634986927921	-19.2534966642115	-10.4715222968222	-7.76854792974338	-15.1766810671607	-12.7899722909404	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP356	-18.8959446595935	-12.0798195279081	-18.2311288511831	-4.98201995790719	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-13.5137160544383	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-11.5797459247735	-20.0835716627692	-5.62293090491518	-8.82723190950944	-8.18463443295188	-6.70663234114938	-18.8611792414328	-3.34222172218556	-19.2534966642115	-4.59938512873252	-7.05430361050364	-20.0835716627692	-8.41867999348314	-19.5530569460704	-6.81688271026666	-5.49579414644101
DP354	-15.3406073279816	-13.8398687351874	-18.2311288511831	-10.5711603945002	-19.6096404744368	-18.5530569460704	-12.7289549491757	-19.4986091620481	-14.3526298562308	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-10.8470258956823	-20.0835716627692	-5.80992983232743	-16.8526172279294	-17.4461417421539	-7.89395298259678	-11.5124510872017	-3.32052503509053	-7.89443348053324	-6.11779739685749	-20.7940650455742	-20.0835716627692	-7.28588762312358	-7.82965853658515	-18.4206066500468	-16.1874074737538
DP353	-18.8959446595935	-13.468861818654	-18.2311288511831	-5.33834086784751	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-2.81243695537624	-20.0835716627692	-18.7940650455742	-8.42461640774706	-8.23221301373571	-16.6096404744368	-18.8611792414328	-11.6082885814369	-19.2534966642115	-12.0636721053315	-20.7940650455742	-12.0581244568088	-20.4461417421539	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP351	-12.1378027120145	-13.3301691787923	-18.2311288511831	-4.45073104477076	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-16.1449722074334	-19.8611792414328	-11.2598506041949	-17.7299347081545	-12.681744020708	-5.89617662830633	-17.2762167407116	-16.1088384213797	-8.35740081809983	-20.0835716627692	-8.99647720367774	-16.8526172279294	-7.90300632342764	-11.3309122614979	-18.8611792414328	-5.65610603585533	-19.2534966642115	-6.64462102084454	-7.99533552502759	-12.4158687310401	-13.4754195346762	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP350	-4.09653716169721	-12.8504846406365	-18.2311288511831	-14.203648114761	-8.63150205936685	-11.5166719651127	-12.0993114549462	-14.1397544981623	-11.3831319446281	-19.8611792414328	-17.8611792414328	-13.0008312317613	-9.54656902459413	-9.33948533567028	-17.2762167407116	-16.1088384213797	-12.327942224338	-20.0835716627692	-18.7940650455742	-16.8526172279294	-17.4461417421539	-16.6096404744368	-18.8611792414328	-13.8022855523792	-19.2534966642115	-11.7711928818884	-20.7940650455742	-20.0835716627692	-9.34397854991492	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP349	-13.0355389663474	-12.2913236331018	-18.2311288511831	-13.4787096046104	-11.0510666981962	-18.5530569460704	-18.6685341634904	-19.4986091620481	-14.3436035804415	-19.8611792414328	-17.8611792414328	-13.4221894204095	-7.99835741724701	-17.1982142287103	-17.2762167407116	-16.1088384213797	-2.15744106864968	-20.0835716627692	-8.29458150812019	-16.8526172279294	-17.4461417421539	-16.6096404744368	-18.8611792414328	-11.9686725639869	-19.2534966642115	-12.6610396269435	-12.1541488538083	-20.0835716627692	-20.4461417421539	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP348	-16.005569150768	-13.1384530140498	-9.74446397790503	-10.1387782750231	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-13.3693261451031	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-14.823044112546	-17.2762167407116	-16.1088384213797	-10.5770987771668	-20.0835716627692	-8.05558889647518	-7.23627501867229	-6.68252920926079	-5.93856829345952	-6.9547896685905	-4.38245776555206	-19.2534966642115	-3.66151602446381	-6.22161242275095	-20.0835716627692	-12.6332768387041	-6.83745788551545	-18.4206066500468	-8.02614395543648
