feature	s__Bifidobacterium_dentium	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_longum	s__Lactobacillus_fermentum	s__Lactobacillus_salivarius	s__Lactobacillus_rhamnosus	s__Actinomyces_naeslundii	s__Actinomyces_oris	s__Actinomyces_sp_HPA0247	s__Streptococcus_anginosus_group	s__Streptococcus_mutans	s__Streptococcus_vestibularis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Klebsiella_quasipneumoniae	s__Blautia_wexlerae	s__Blautia_hansenii	s__Anaerostipes_hadrus	s__Clostridium_sp_CAG_58	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_sp_CAG_38	s__Faecalibacterium_prausnitzii	s__Fusicatenibacter_saccharivorans	s__Roseburia_faecis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bicirculans	s__Ruminococcus_lactaris
DP255	3.51e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0063919	0	0	0.0010074	0	0.0032161	0.0073503	0.0107337	0.0037138	0.0019165	0.0342048	0.0009221	0.1008382	0.0248223	0.0098359	0.0002226	0.0043493	0.0007809	0.0003431
DP254	0	0	0	0	0	0	0	0.0001003	7.94e-05	0	0	0	0.0004493	0.0080053	0	0	0.0012705	0	0.0078139	0.0014845	0.0132612	0.0187468	0.0026679	0.0345482	0.0001308	0.0433222	0.0061905	0.090206	0.0009218	0.0004143	0.0716647	0
DP253	0	0.0475985	2.58e-05	0.1699939	0	0	0	0	0	0	0	4.04e-05	0	0.002957	0	0	0.0019751	0	0.002254	0.0010272	0.0063188	0	0	0	0	0.0221682	0	0	0	0	0	0
DP252	0.0002348	0	0.004656	0	0	0	0	0	2.38e-05	0	0	0	0.0001429	0	0	0	0.0027947	0	0.0062758	0.0008501	0	0	0.0019441	0.0277525	0	0.0256923	0	0.0665985	0.003339	0.0015223	0	0
DP250	0	0	0.0010553	0	0	0	0	0	0.0001111	0	0	0	0	0.1589079	0	0	0.0005962	0	0.0005688	0.0016902	0	0.0080286	0.0010873	0.0377683	0.000887	0.0045999	0.0092046	0.0298658	0	0.0021502	1.12e-05	0
DP249	0	0	0	0	0	0	0	0.000108	0.000493	0.0003285	0	0	0	0.0054736	0.0376607	0.0020289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DP246	0.0021905	0	0	0.02375	0.0022113	0	0	4.8e-05	0	0	0	0	0.0031857	0.0206427	0.0015709	0.001359	0.0337612	0	0	0	0.0022011	0	0	0.0092037	0	0.0552671	0.0311517	0.0089289	0.0086985	0	0	0
DP245	0	0	0	0	0	0	0	8.61e-05	0	0	0	0	0	0.068811	0	0	0.0382219	0	0	0.0025011	0	0	0	0	0.0011464	0	0	0	0.005658	0	0	0
DP244	0	0	0	0	0	0	0	0	0	9.55e-05	0	0	0	0	0	0	0.0150587	0	0.038242	0.0027896	0.0047026	0.0006119	0.0011711	0.043364	0	0.1719556	0.0481355	0	0	0.0058783	0.0177838	0
DP243	0	0	0	0.3441338	0	0	0	0	2.03e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DP241	0	0	0	0.009619	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010975	0.0088951	0.0070658	0	0	0.0015933	0	0	0	0.0128346	0	0	0	0	0
DP240	0	0.0323888	0.0007157	0.148344	0	0.0025367	0.0042931	0	1.96e-05	0	0	0	0	0.0001115	0	0	0	0	0.0001714	0	0.0335259	0	0	0.0065976	0	0.0016073	2.69e-05	0	0	0.0007109	0	0
DP239	0.0118102	0.1310763	0	0.1352116	0	0	0	0.0001157	0.0002094	0	0	0	0	0.0009758	0	0	0	0	0	0	0	0	0.0004643	0	0	0.0102608	0	0	0	0.0024837	0	0
DP237	0.0004101	0	0	0	0.0157591	2.35e-05	0.0019021	0	0.000159	0	0.0010632	3.69e-05	0.0017954	0.0878751	0.0260647	0.0296576	0.0022777	0.0053956	0.0054608	0.0036141	0.0001243	3.95e-05	1.07e-05	0.0883091	0	0.0453631	0.0058362	8.3e-05	0.0002008	0	0	0
DP236	0.0088729	0.1406859	0.0177771	0.1279177	0.004829	0.0015961	1.86e-05	0	0.00021	0.0004666	0	0.0021519	0.0007097	0.0329626	0.001916	0.0002936	0.0319479	0	0.0029516	0	0.0005788	0.0378484	0	0.0040913	0	0.0926627	0.1037255	0.0181392	0.0043976	0.001057	0	0
DP234	0.0011626	0	0.0042998	0.0612541	0	0.0001962	0	0.0002086	0.0002794	0	0	0	0	0	0	0	0.0007269	0	0.0006551	2.53e-05	0.0037546	0.0005215	0.0004966	0.0109651	0	0.0958767	0.004145	0.0011598	0.011778	0.0034857	0	0
DP231	0	0	0	0	0.0029012	0.0005483	0.0001734	0	0	0	4.18e-05	0	0	0.5502664	0.0003712	0	0	0.0136412	0	0	0	0	0	0	0	0	0	0	0	0	0	0
